"Date","Currency","Mean","Buy","Sell"
"29/12/2017","US DOLLAR","103.2317","103.1317","103.3317"
"28/12/2017","US DOLLAR","103.1528","103.0528","103.2528"
"27/12/2017","US DOLLAR","103.0806","102.9806","103.1806"
"22/12/2017","US DOLLAR","103.0806","102.9806","103.1806"
"21/12/2017","US DOLLAR","103.0889","102.9889","103.1889"
"20/12/2017","US DOLLAR","103.1306","103.0306","103.2306"
"19/12/2017","US DOLLAR","103.1572","103.0572","103.2572"
"18/12/2017","US DOLLAR","103.1983","103.0983","103.2983"
"15/12/2017","US DOLLAR","103.2200","103.1228","103.3172"
"14/12/2017","US DOLLAR","103.1667","103.0694","103.2639"
"13/12/2017","US DOLLAR","103.1083","103.0083","103.2083"
"11/12/2017","US DOLLAR","103.0778","102.9778","103.1778"
"08/12/2017","US DOLLAR","102.9583","102.8583","103.0583"
"07/12/2017","US DOLLAR","102.8778","102.7778","102.9778"
"06/12/2017","US DOLLAR","102.9833","102.8833","103.0833"
"05/12/2017","US DOLLAR","103.0611","102.9611","103.1611"
"04/12/2017","US DOLLAR","103.0389","102.9389","103.1389"
"01/12/2017","US DOLLAR","103.1028","103.0028","103.2028"
"30/11/2017","US DOLLAR","103.2533","103.1533","103.3533"
"29/11/2017","US DOLLAR","103.3533","103.2533","103.4533"
"27/11/2017","US DOLLAR","103.3444","103.2500","103.4389"
"24/11/2017","US DOLLAR","103.2639","103.1639","103.3639"
"23/11/2017","US DOLLAR","103.3861","103.2861","103.4861"
"22/11/2017","US DOLLAR","103.3650","103.2650","103.4650"
"21/11/2017","US DOLLAR","103.6000","103.5000","103.7000"
"20/11/2017","US DOLLAR","103.7889","103.6889","103.8889"
"17/11/2017","US DOLLAR","103.6939","103.5939","103.7939"
"16/11/2017","US DOLLAR","103.7361","103.6361","103.8361"
"15/11/2017","US DOLLAR","103.6778","103.5778","103.7778"
"14/11/2017","US DOLLAR","103.5861","103.4861","103.6861"
"13/11/2017","US DOLLAR","103.5811","103.4811","103.6811"
"10/11/2017","US DOLLAR","103.5933","103.4933","103.6933"
"09/11/2017","US DOLLAR","103.6000","103.5028","103.6972"
"08/11/2017","US DOLLAR","103.6056","103.5056","103.7056"
"07/11/2017","US DOLLAR","103.6194","103.5194","103.7194"
"06/11/2017","US DOLLAR","103.6639","103.5639","103.7639"
"03/11/2017","US DOLLAR","103.7389","103.6389","103.8389"
"02/11/2017","US DOLLAR","103.7944","103.6944","103.8944"
"01/11/2017","US DOLLAR","103.7500","103.6500","103.8500"
"31/10/2017","US DOLLAR","103.6944","103.5944","103.7944"
"30/10/2017","US DOLLAR","103.6917","103.5917","103.7917"
"30/10/2017","US DOLLAR","103.6917","103.5917","103.7917"
"27/10/2017","US DOLLAR","103.8139","103.7139","103.9139"
"24/10/2017","US DOLLAR","103.6961","103.5961","103.7961"
"23/10/2017","US DOLLAR","103.5528","103.4528","103.6528"
"19/10/2017","US DOLLAR","103.4167","103.3167","103.5167"
"18/10/2017","US DOLLAR","103.3611","103.2611","103.4611"
"17/10/2017","US DOLLAR","103.2961","103.1961","103.3961"
"16/10/2017","US DOLLAR","103.2767","103.1767","103.3767"
"13/10/2017","US DOLLAR","103.2783","103.1783","103.3783"
"12/10/2017","US DOLLAR","103.3028","103.2028","103.4028"
"11/10/2017","US DOLLAR","103.2250","103.1250","103.3250"
"10/10/2017","US DOLLAR","103.2667","103.1667","103.3667"
"09/10/2017","US DOLLAR","103.2250","103.1278","103.3222"
"06/10/2017","US DOLLAR","103.2144","103.1144","103.3144"
"05/10/2017","US DOLLAR","103.3139","103.2139","103.4139"
"04/10/2017","US DOLLAR","103.3072","103.2072","103.4072"
"03/10/2017","US DOLLAR","103.2194","103.1250","103.3139"
"02/10/2017","US DOLLAR","103.2222","103.1222","103.3222"
"29/09/2017","US DOLLAR","103.2472","103.1472","103.3472"
"28/09/2017","US DOLLAR","103.3439","103.2439","103.4439"
"27/09/2017","US DOLLAR","103.3400","103.2400","103.4400"
"26/09/2017","US DOLLAR","103.2694","103.1694","103.3694"
